XLogP,LipinskiFailures,nRotB,nAtomLAC,nAtomP,nBase,nAcid,nRings5,nRings7,WTPT.2,WTPT.3,WTPT.4,TopoPSA,topoShape,geomShape,MDEC.11,MDEC.12,MDEC.13,MDEC.33,MDEC.44,MDEO.11,MDEO.12,MDEN.22,MDEN.23,khs.dCH2,khs.dsCH,khs.dssC,khs.aaaC,khs.sNH2,khs.dsN,khs.sssN,khs.sOH,khs.dO,khs.aaO,khs.dsssP,khs.ddssS,khs.sCl,khs.sBr,FMF,SC.3,SC.6,SCH.6,C1SP2,C4SP3,ATSc4,ATSc5,Wlambda2.unity,Weta1.unity,Weta2.unity,Weta3.unity,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,nHBDon,PPSA.3,RPCG,RPCS,RNCS,TPSA,y_var
3.0389999999999997,0,0,0,3,0,0,0,2,2.0818465217974698,15.053101313229401,15.053101313229401,53.99,0.75,0.842029823494,0.47495712579649796,3.28730891119457,5.379422210190341,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.38095238095238104,2.4204495689686802,0.0895762464275441,0.138427268806371,1,0,-0.0977334813107262,0.0388012741786009,3.3254857025958597,0.5014462312104939,0.49310120431480103,0.48025816360970197,11.999,16.0949836101003,-0.314392746417417,0.26719461081031604,4.74509598963147,0,10.042246031352,0.168942019396319,0.18595495396931,2.03246071108334,81.0195555972858,0.0
5.687,1,5,4,6,0,0,0,2,2.09847471351686,15.2979089368622,15.2979089368622,53.99,0.857142857142857,0.955475285459933,0.0,2.14988633761476,1.70190133492423,4.1495600753063195,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.448275862068966,2.2919130216595898,0.0958191595217549,0.24931815378888603,1,0,-0.0940002140544051,0.0361215284296581,2.58399345350022,0.48163867366038793,0.3428128313902,0.4835466841642179,11.999,16.094987796317,-0.314124648466523,0.264376410554063,4.47126852047957,0,19.154338389145998,0.132376207608296,0.349696470025298,0.9631565942740831,82.8559883091572,0.45
2.7460000000000004,0,0,0,3,0,0,0,2,2.09492995432253,15.084307143093099,15.084307143093099,53.99,0.75,0.780228990815185,0.166666666666667,2.7108734850316503,2.84485903233126,4.20685701919088,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.41025641025640996,2.30745879053775,0.0958191595217549,0.14725608117292002,1,0,-0.0936631155134389,0.0332579108038828,3.0912892266776497,0.531782471865918,0.476604351484396,0.46486095301712604,11.999,16.094983088010302,-0.314390328247717,0.264340188906086,4.43072168763072,0,11.4988652811233,0.17282667760304096,0.586997922256499,2.52314496896713,101.389036952078,0.79
3.0389999999999997,0,0,0,3,0,0,0,2,2.0818465217974698,15.053101313229401,15.053101313229401,53.99,0.75,0.8426424126933492,0.47495712579649796,3.28730891119457,5.379422210190341,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.38095238095238104,2.4204495689686802,0.0895762464275441,0.138427268806371,1,0,-0.0977334813107262,0.0388012741786009,3.3218335854178704,0.50093480331654,0.493064820110026,0.480258629941534,11.999,16.0949836101003,-0.314392746417417,0.26719461081031604,4.74509598963147,0,10.0404494947156,0.168942019396319,0.18595495396931,2.03246071108334,81.1904287852099,-0.17
4.38,0,3,4,3,0,0,0,2,2.07360801474375,15.147396996888,15.147396996888,53.99,1.0,0.940693002399202,0.368403149864039,4.686240529433481,4.1183956949055895,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.326530612244898,2.36408224272676,0.0895762464275441,0.138427268806371,2,0,-0.0932175454251842,0.0208128711109738,3.22892362362486,0.514989671158254,0.40608973313238206,0.42758504954543397,11.999,16.0949851779512,-0.314402839064174,0.26748920487121697,5.030717044761531,0,15.454121276958102,0.149032858594865,0.135919590352373,1.7561166240097499,70.7884846094802,-0.1
4.746,0,3,4,3,0,0,0,2,2.07360801474375,15.147396996888,15.147396996888,53.99,1.0,0.9616593654814499,0.368403149864039,4.686240529433481,4.1183956949055895,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.313725490196078,2.36408224272676,0.0895762464275441,0.138427268806371,1,0,-0.0973631978602329,0.0385694310674201,3.23393081617082,0.48925569266334495,0.39249036215136,0.449160017463829,11.999,16.0949851779512,-0.31440201445255894,0.267479056500693,5.0201699405767,0,12.5053292455334,0.15340520578751501,0.11578528437275801,1.8077096144832798,70.4318892996052,0.17
7.687,1,8,4,6,0,0,0,2,2.08273429311789,15.3604866007884,15.3604866007884,53.99,0.8888888888888891,0.6688097165082629,0.111111111111111,4.35929892270332,2.8295797597487495,6.336587838972711,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.37142857142857105,2.3485364738486,0.0895762464275441,0.240489341422337,1,0,-0.0977002832521053,0.0414334388097767,7.087911807828981,0.447576331114674,0.3982602751722321,0.4400569319373279,11.999,16.0949898957771,-0.314135619719976,0.26751568006371,5.0607158003506605,0,21.1046325435582,0.120976112712985,0.0913088544868911,0.96702519100023,63.5969617826389,-0.32
7.74,1,7,4,6,0,0,0,2,2.07832186947141,17.8826104038665,15.3632016374701,53.99,0.8888888888888891,0.7000733217992371,0.111111111111111,4.21831177192361,2.87527711857329,6.784341192223691,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.373134328358209,2.63721160844341,0.0895762464275441,0.22176060213970397,1,0,-0.0980084604158981,0.0279951499499228,8.48262484399601,0.45695562533256,0.44106719759728996,0.5061564780975151,11.999,34.9688540779281,-0.314135047445677,0.267518322896838,5.062445911211519,0,19.060873240566302,0.12309683733897801,0.0696821315980434,0.934572021617621,61.7564957239491,-0.28
4.965,0,8,4,3,0,0,0,2,2.05471571484645,20.6913334463095,20.6913334463095,80.29,0.875,0.546180380798298,0.26295358943292996,5.163849303147519,3.6599307456716503,6.838647691509969,0.33333333333333304,0.111111111111111,2.15939800304,0.0,0.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0.253968253968254,2.4330874632114803,0.0895762464275441,0.138427268806371,2,0,-0.137087220871114,-0.19624801827014002,7.855534019967481,0.445869315208875,0.48502073297304704,0.42719266065756606,11.999,16.0950306173081,-0.31635772152465197,0.267714433595867,4.3495529183064505,0,18.938475891841396,0.11341845345770199,0.0856045778844567,1.7401817638354702,116.55845433563101,1.36
6.242000000000001,1,6,4,3,0,0,0,2,2.0675912126446296,15.331723204286199,15.331723204286199,53.99,0.857142857142857,0.732234467305971,0.29487987310846697,5.727955107533621,3.47295554270416,6.631975707865091,0.33333333333333304,0.0,1.0162654963092301,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.266666666666667,2.14441232861667,0.0895762464275441,0.138427268806371,1,0,-0.099980417820807,0.0390705868766242,6.650563148962459,0.47021069034382396,0.48664922630925894,0.479539948372618,11.999,16.094986748177302,-0.314118141086621,0.26749155165724103,5.05454977450923,0,15.312605945750501,0.140404649397062,0.101557348289764,1.0143212046169001,72.7758446684179,-0.48
