XLogP,MW,LipinskiFailures,nRotB,nAtomLAC,nAtomP,nBase,ALogP,nAcid,nSmallRings,nRings5,nRings7,tpsaEfficiency,WTPT.3,WTPT.5,topoShape,geomShape,MDEC.11,MDEC.12,MDEC.13,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.22,MDEN.23,khs.dCH2,khs.ssCH2,khs.dsCH,khs.dssC,khs.aaaC,khs.sNH2,khs.ssNH,khs.dsN,khs.aaN,khs.sssN,khs.sOH,khs.dO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.aaS,khs.ddssS,khs.sCl,khs.sBr,FMF,SC.3,SC.4,SC.6,SCH.6,C1SP2,C1SP3,C4SP3,ATSc4,ATSc5,Wlambda1.unity,Wlambda2.unity,Wnu1.unity,Weta1.unity,Weta2.unity,Weta3.unity,WD.unity,BCUTw.1l,BCUTc.1l,BCUTc.1h,BCUTp.1l,PNSA.1,PNSA.3,RPCG,RPCS,RNCS,y_var
3.0389999999999997,282.146723804001,0,0,0,3,0,0.801200000000003,0,5,0,2,0.191354339586468,15.053101313229401,0.0,0.75,0.842029823494,0.47495712579649796,3.28730891119457,5.379422210190341,3.13459129979334,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.38095238095238104,2.4204495689686802,0.244818077040614,0.0895762464275441,0.138427268806371,1,4,0,-0.0977334813107262,0.0388012741786009,1.07143409259266,3.3254857025958597,0.10849474171666698,0.5014462312104939,0.49310120431480103,0.48025816360970197,1.4748055991350002,11.999,-0.314392746417417,0.26719461081031604,4.74509598963147,124.87758803187799,-26.5489075503503,0.168942019396319,0.18595495396931,2.03246071108334,0.0
5.687,386.209324060001,1,5,4,6,0,1.3625,0,6,0,2,0.13979465703322103,15.2979089368622,0.0,0.857142857142857,0.955475285459933,0.0,2.14988633761476,1.70190133492423,6.5534693175134695,4.1495600753063195,4.62881020599431,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.448275862068966,2.2919130216595898,0.193041381743977,0.0958191595217549,0.24931815378888603,1,2,0,-0.0940002140544051,0.0361215284296581,1.2901835785447,2.58399345350022,0.0542311038954136,0.48163867366038793,0.3428128313902,0.4835466841642179,1.30799818921481,11.999,-0.314124648466523,0.264376410554063,4.47126852047957,197.51036751609402,-29.398959489465398,0.132376207608296,0.349696470025298,0.9631565942740831,0.45
2.7460000000000004,268.13107374,0,0,0,3,0,0.541200000000001,0,5,0,2,0.20135674409879398,15.084307143093099,0.0,0.75,0.780228990815185,0.166666666666667,2.7108734850316503,2.84485903233126,3.75381399819481,4.20685701919088,4.610539557408639,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.41025641025640996,2.30745879053775,0.244818077040614,0.0958191595217549,0.14725608117292002,1,3,0,-0.0936631155134389,0.0332579108038828,1.16591218257397,3.0912892266776497,0.130306588740487,0.531782471865918,0.476604351484396,0.46486095301712604,1.4732477763674399,11.999,-0.314390328247717,0.264340188906086,4.43072168763072,135.776836507194,-30.3607190801596,0.17282667760304096,0.586997922256499,2.52314496896713,0.79
3.0389999999999997,282.146723804001,0,0,0,3,0,0.801200000000003,0,5,0,2,0.191354339586468,15.053101313229401,0.0,0.75,0.8426424126933492,0.47495712579649796,3.28730891119457,5.379422210190341,3.13459129979334,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.38095238095238104,2.4204495689686802,0.244818077040614,0.0895762464275441,0.138427268806371,1,4,0,-0.0977334813107262,0.0388012741786009,1.0725885928416299,3.3218335854178704,0.108603939568307,0.50093480331654,0.493064820110026,0.480258629941534,1.4742582533681001,11.999,-0.314392746417417,0.26719461081031604,4.74509598963147,124.67107740228998,-26.5763621000492,0.168942019396319,0.18595495396931,2.03246071108334,-0.17
4.38,322.178023932001,0,3,4,3,0,1.5804,0,5,0,2,0.167578158625106,15.147396996888,0.0,1.0,0.940693002399202,0.368403149864039,4.686240529433481,4.1183956949055895,4.03780147086359,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,1,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.326530612244898,2.36408224272676,0.244818077040614,0.0895762464275441,0.138427268806371,2,3,0,-0.0932175454251842,0.0208128711109738,1.0885785982589,3.22892362362486,0.0769685838268658,0.514989671158254,0.40608973313238206,0.42758504954543397,1.34866445383607,11.999,-0.314402839064174,0.26748920487121697,5.030717044761531,154.89256877504602,-27.8058281584768,0.149032858594865,0.135919590352373,1.7561166240097499,-0.1
4.746,324.193673996001,0,3,4,3,0,0.09260000000000199,0,5,0,2,0.16653625388343,15.147396996888,0.0,1.0,0.9616593654814499,0.368403149864039,4.686240529433481,4.1183956949055895,4.03780147086359,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.313725490196078,2.36408224272676,0.244818077040614,0.0895762464275441,0.138427268806371,1,4,0,-0.0973631978602329,0.0385694310674201,0.9862484233056429,3.23393081617082,0.063963791375612,0.48925569266334495,0.39249036215136,0.449160017463829,1.33090607227853,11.999,-0.31440201445255894,0.267479056500693,5.0201699405767,117.390927301447,-24.0537003114037,0.15340520578751501,0.11578528437275801,1.8077096144832798,0.17
7.687,442.271924316001,1,8,4,6,0,0.913900000000002,0,6,0,2,0.12207421957317001,15.3604866007884,0.0,0.8888888888888891,0.6688097165082629,0.111111111111111,4.35929892270332,2.8295797597487495,7.08000775770424,6.336587838972711,5.24915368318697,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.37142857142857105,2.3485364738486,0.193041381743977,0.0895762464275441,0.240489341422337,1,3,0,-0.0977002832521053,0.0414334388097767,1.1383682110645301,7.087911807828981,0.0402778888408529,0.447576331114674,0.3982602751722321,0.4400569319373279,1.28589353822423,11.999,-0.314135619719976,0.26751568006371,5.0607158003506605,209.21044395622602,-26.7441364572336,0.120976112712985,0.0913088544868911,0.96702519100023,-0.32
7.74,462.217301900001,1,7,4,6,0,1.9937,0,6,0,2,0.11680653185864599,17.8826104038665,0.0,0.8888888888888891,0.7000733217992371,0.111111111111111,4.21831177192361,2.87527711857329,6.86979278206642,6.784341192223691,5.3173937837743495,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.373134328358209,2.63721160844341,0.193041381743977,0.0895762464275441,0.22176060213970397,1,3,0,-0.0980084604158981,0.0279951499499228,1.1525111011391,8.48262484399601,0.0490579087401083,0.45695562533256,0.44106719759728996,0.5061564780975151,1.40417930102736,11.999,-0.314135047445677,0.267518322896838,5.062445911211519,237.607136327407,-32.7286055545697,0.12309683733897801,0.0696821315980434,0.934572021617621,-0.28
4.965,410.230453428001,0,8,4,3,0,0.0497000000000011,0,5,0,2,0.19571925811229798,20.6913334463095,0.0,0.875,0.546180380798298,0.26295358943292996,5.163849303147519,3.6599307456716503,5.79209724708141,6.838647691509969,5.55724857085938,0.33333333333333304,0.111111111111111,2.15939800304,3.03420430974868,0.0,0.0,0,10,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.253968253968254,2.4330874632114803,0.193041381743977,0.0895762464275441,0.138427268806371,2,5,0,-0.137087220871114,-0.19624801827014002,0.8851100123063309,7.855534019967481,0.0377036921176668,0.445869315208875,0.48502073297304704,0.42719266065756606,1.35808270883949,11.999,-0.31635772152465197,0.267714433595867,4.3495529183064505,145.833933620576,-32.472354753789,0.11341845345770199,0.0856045778844567,1.7401817638354702,1.36
6.242000000000001,366.24062418800105,1,6,4,3,0,-0.771400000000003,0,5,0,2,0.14741674307622799,15.331723204286199,0.0,0.857142857142857,0.732234467305971,0.29487987310846697,5.727955107533621,3.47295554270416,6.02802742074572,6.631975707865091,5.19566378505571,0.33333333333333304,0.0,1.0162654963092301,2.6207413942089,0.0,0.0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.266666666666667,2.14441232861667,0.193041381743977,0.0895762464275441,0.138427268806371,1,4,0,-0.099980417820807,0.0390705868766242,0.9243115090214731,6.650563148962459,0.0482232577820031,0.47021069034382396,0.48664922630925894,0.479539948372618,1.4363998650257,11.999,-0.314118141086621,0.26749155165724103,5.05454977450923,109.32959237110501,-21.640523198322,0.140404649397062,0.101557348289764,1.0143212046169001,-0.48
